,YEAR,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,ANN,JULJAN
1,1947-48,0,0,5,26.8,19.5,7.2,20.6,22.4,23.7,26.6,7.7,0,132.8,79.1
2,1948-49,0,0,0,5,31,35.2,13.8,7.9,18.5,12.5,6,4.1,134,85
3,1949-50,1,0,0.2,22.1,8,7.5,25.6,27.7,28.3,41.5,20.2,0.6,182.7,64.4
4,1950-51,0,0,0.8,1.4,27,37,31,32.9,13.2,38.5,11,11.8,204.6,97.2
5,1951-52,0,0,3,13.3,32.4,52.7,24.9,20.7,21.2,14,7.6,0,168.6,126.3
6,1952-53,0,0,0.5,0.7,22.8,19.7,21.7,17.6,23,24.6,13.5,1,145.1,65.4
7,1953-54,0,0,0,4.3,22.2,23.1,12.3,9.5,17.4,10.7,3.8,2.9,106.2,61.9
8,1954-55,0,0,0,15.2,13.4,15.5,11,19.2,24.1,6.3,18.8,1.4,124.9,55.1
9,1955-56,0,0,0,15.1,33.3,19.8,32.2,26.7,17.4,27.4,3.9,0,175.8,100.4
10,1956-57,0,0,0,12.7,19.3,16.4,43.4,15.4,28.2,30.5,21.6,4.3,191.8,91.8
11,1957-58,0,0,4.2,6.6,18.9,21.4,14.3,26.8,23.5,31.7,3.5,0,150.9,65.4
12,1958-59,0,0,0.2,4.2,15.4,21.9,32.4,26.1,27.8,19.4,14.7,2.1,164.2,74.1
13,1959-60,0,0,29.4,13.5,11.2,7.8,12.7,26,34.6,9,13.3,0,157.5,74.6
14,1960-61,0,0.5,0.4,15.1,7.3,20.5,6.8,12.6,22.4,42.3,12,0,139.9,50.6
15,1961-62,0,0,53,22,18.5,5.2,20,11,4,27.3,0,0,161,118.7
16,1962-63,0,0,0,0,12.8,17.5,16.9,20,18.5,3.5,0,1.5,90.7,47.2
17,1963-64,0,0,0,4,10,17.5,9,21,34,24,2.5,0,122,40.5
18,1964-65,0,0,0,4.5,34,32,42,6,35,13,2,1.5,170,112.5
19,1965-66,0,0,2,3,26,17,3,18.5,9,15.5,5.5,1,100.5,51
20,1966-67,0,0,0.1,15.5,12.5,34.6,21,40.5,17,5.5,6,0,152.7,83.7
21,1967-68,0,0,0,3,24,36.7,7.5,24.5,11,13,11,2,132.7,71.2
22,1968-69,0,0,5,9,35,17.5,28.5,6,8.5,9.5,11.5,0,130.5,95
23,1969-70,0,0,0,64.5,15.5,48,33.5,18,20.5,24,2,0,226,161.5
24,1970-71,0,0,21,16,28.5,16,15,27,32,14.5,9.5,1.5,181,96.5
25,1971-72,0,0,5,4.5,23.5,10,28.5,25.2,36.5,13.5,6,0,152.7,71.5
26,1972-73,0,0,0,3,42.5,19.5,14.5,6.5,21.5,32.5,34,11,185,79.5
27,1973-74,0,0,3.6,12,22,48.5,28.5,12.5,31,24.5,4,0,186.6,114.6
28,1974-75,0,0,0,1,11.7,28,25.5,25,39,12.5,3.5,2,148.2,66.2
29,1975-76,0,0,0,12,31,11,25.5,34,27.5,16,7,4,168,79.5
30,1976-77,0,0,1.5,13.5,12,11.5,6,14,22,NA,3,0,83.5,44.5
31,1977-78,0,0,4,7.5,22,52,18,11.5,21.5,7.5,33,0,177,103.5
32,1978-79,0,1,4,9,16,11,32,13.5,31,24,19.5,0,161,73
33,1979-80,0,0,NA,8,49,5,38,25,40.5,28,13.9,0,207.4,NA
34,1980-81,0,0,0,8.3,7.2,4.5,6,2.9,19.4,9.2,2.1,0,59.6,26
35,1981-82,0,0,0,NA,15,48.7,30.4,2.1,12.3,9.1,20.4,0,138,NA
36,1982-83,0,0,0.8,15,21.3,15.8,16.3,26.3,41.7,21.8,35.3,2.5,196.8,69.2
37,1983-84,0,0,0,10.8,38.6,95.1,8.3,18.4,29.3,33.2,20.5,16.1,270.3,152.8
38,1984-85,0,0,2,NA,15.6,23.7,23.2,12.1,23.6,NA,7.7,0.5,108.4,NA
39,1985-86,0,0,NA,11.5,35.8,20.8,13.2,41.9,9.7,34.2,NA,1.5,168.6,NA
40,1986-87,0,0,7,10,16.4,9.6,21.3,24.1,NA,26.8,3,0,118.2,64.3
41,1987-88,0,0,0,4.5,19.6,26,24.1,15.8,33.1,11.2,12.5,0.5,147.3,74.2
42,1988-89,0,0,0,2.3,33.2,8.2,12.5,27.6,23.3,46.1,12,2.6,167.8,56.2
43,1989-90,0,0,2.4,NA,18.5,24.9,13.3,9.6,28.2,22.6,11.9,0,131.4,NA
44,1990-91,0,0,0,19,13,14,16.5,10,26.8,29.2,12.3,0,140.8,62.5
45,1991-92,0,0,3,18.5,42.8,3.5,9.4,11.5,39.4,16.6,1,2,147.7,77.2
46,1992-93,0,0,1,5.8,27.8,15.8,25.3,47.8,40.9,27.3,1.5,4,197.2,75.7
47,1993-94,1,0,7,20.3,26,12.3,28.3,17.3,19.3,37.8,0,0,169.3,94.9
48,1994-95,0,0,0,7.5,21.8,9.8,16,45,35.8,53.8,27,0.5,217.2,55.1
49,1995-96,0,0,1,13.5,28.3,27.5,72,48.8,23,27.3,6,0,247.4,142.3
50,1996-97,0,0,14,16.8,34.8,49.9,30.2,25,18.6,46.6,5,0,240.9,145.7
51,1997-98,0,0,0,17,25.5,8.8,29.3,19.5,26,28.5,2,2.8,159.4,80.6
52,1998-99,0,0,0,8,18.5,19,36,30.5,16,31,20.5,0.5,180,81.5
53,1999-00,0,0,1,11.5,11.5,21.5,49,20,27.5,27,0.5,0,169.5,94.5
54,2000-01,0,0,0,0,29,34.5,9.5,18.5,32,22.5,17.5,1.5,165,73
55,2001-02,0,0,6,4,23,13,20,17,15,7,7.5,0,112.5,66
56,2002-03,0,0,1,16,37.5,7.5,16,33.5,47.5,26.5,5.5,3,194,78
57,2003-04,0,0,0,0,28,14.5,12,20,14,14.5,7.5,0.5,111,54.5
58,2004-05,0,0,6.5,11,22,16.5,18.5,23.5,27,22.5,9.5,1.5,158.5,74.5
59,2005-06,0,0,0,20.5,47,41.9,39.5,23.9,23.5,14.5,2.5,0,213.3,148.9
60,2006-07,0,0,17.5,36.8,18.7,21,18.5,35,23.5,35.5,10,1,217.5,112.5
61,2007-08,0,0,0.5,21.1,10.5,43,31.5,35.7,34,29.7,19.2,1.5,226.7,106.6
62,2008-09,0,0,0.5,3,15.5,42.9,22,18.4,23.9,31,4.2,0,161.4,83.9
63,2009-10,0,0,0,22.9,9.7,12.7,12.3,20.4,18.8,26.4,14.3,3.1,140.6,57.6
64,2010-11,0,0,0,9.3,28,32.5,40,26.3,32.1,42,2.2,NA,212.4,109.8
65,2011-12,0,0,0,12.4,15.9,4.4,27.4,33,6.8,16.2,1.3,0,117.4,60.1
66,2012-13,0,0,0,8,4,23.9,6.6,25.4,35.6,49.5,22.9,0,175.9,42.5
67,2013-14,0,0,0,20.5,20.1,27.3,60.5,43.8,37.4,22.2,16.3,0,248.1,128.4
68,2014-15,0,0,0,8.3,50.5,32.3,15.7,34.6,19.9,23.5,11.1,0,195.9,106.8
69,2015-16,0,0,0,7.7,32.7,25.6,22.2,16.8,37.2,33.5,5.9,0,181.6,88.2
70,2016-17,0,0,0,6.4,11.4,42.8,53,14.8,13.3,20.1,28.4,0,190.2,113.6
71,2017-18,0,0,1,17.4,7.2,35.9,23,27.7,20.7,35.4,2.6,0,170.9,84.5
72,2018-19,0,0,0,23.5,29.4,22.1,25.1,15.2,70.4,13.4,19.1,0.6,218.8,100.1
73,2019-20,0,0,0,30.4,11.5,29.9,29.4,61.4,20.9,27.6,4.2,0,215.3,101.2
74,2020-21,0,0,5.3,8.8,22.1,22.3,7.8,25,41.5,17.2,7.1,0,157.1,66.3
75,2021-22,0,0,0.6,11.1,17.6,31.8,24.5,15.2,20.5,27.5,32.2,0,181,85.6
76,2022-23,0,0,0,8.8,20.7,37.9,24.9,17.4,23.1,16.6,3.8,0,153.2,92.3
77,2023-24,0,0,0,15.9,8.7,22.4,34.3,NA,NA,NA,NA,NA,81.3,81.3
